name,model_type,metric_type,metric_value,train_time,single_prediction_time
1_Default_LightGBM,LightGBM,f1,0.7391896623673141,632.82,0.0442
2_Default_Xgboost,Xgboost,f1,0.7361869906610193,657.93,0.0537
3_Default_CatBoost,CatBoost,f1,0.718434773432591,110.73,0.0517
4_Default_RandomForest,Random Forest,f1,0.6345374398626253,78.36,0.0748
9_LightGBM,LightGBM,f1,0.7408253030252158,521.11,0.0445
5_Xgboost,Xgboost,f1,0.742662400890249,519.92,0.0532
13_CatBoost,CatBoost,f1,0.7219410881567145,175.51,0.0509
17_RandomForest,Random Forest,f1,0.6306905665264461,76.89,0.0744
10_LightGBM,LightGBM,f1,0.737659546913148,512.29,0.0454
6_Xgboost,Xgboost,f1,0.7354531108350401,998.32,0.0547
14_CatBoost,CatBoost,f1,0.7256632498884791,118.98,0.0521
18_RandomForest,Random Forest,f1,0.6631587530758198,119.6,0.0833
11_LightGBM,LightGBM,f1,0.7380192919258829,309.03,0.0434
5_Xgboost_GoldenFeatures,Xgboost,f1,0.7430269425031537,539.68,0.0734
19_Xgboost_GoldenFeatures,Xgboost,f1,0.7419093346635904,549.65,0.0722
20_Xgboost_GoldenFeatures,Xgboost,f1,0.7430317391033235,532.98,0.0731
21_Xgboost,Xgboost,f1,0.7416743012552702,419.51,0.0523
28_CatBoost,CatBoost,f1,0.7244784896465385,135.25,0.0511
29_CatBoost,CatBoost,f1,0.7237829826219175,150.14,0.0515
Ensemble,Ensemble,f1,0.7441781265439056,24.77,0.3661
